description,price_$,decade,tag,cat
Rolling Stones US Tour Shirt,350.0,1970,Rolling Stones,Music
Rolling Stones Tour Of The Americas Shirt,650.0,1970,Rolling Stones,Music
Rolling Stones Tour Of The Americas Shirt,600.0,1970,Rolling Stones,Music
Rod Stewart Faces Tour Shirt,400.0,1970,,
Rod Stewart Atlantic Crossing Long Sleeve Promo Shirt,350.0,1970,,
Pure Prairie League Record Bar Shirt,150.0,1970,,
Peter Frampton Dave Mason Madison Square Garden Concert Shirt,200.0,1970,,
Lynyrd Skynyrd European Tour Shirt,300.0,1970,,
Led Zeppelin North American Tour Jersey Shirt,1.35,1970,Led Zeppelin,Music
Jefferson Starship Octopus Shirt,150.0,1970,,
Indian Motorcycles 4th Annual Come Home Rally Shirt,150.0,1970,,
Hot Tuna Yellow Fever Grunt Records Promo Shirt,150.0,1970,,
Heart Dreamboat Annie Shirt,250.0,1970,,
Grateful Dead Winterland Concert Shirt,1.0,1970,Grateful Dead,Music
Elton John Rock Of The Westies WZGC 93 FM Radio Promo Shirt,300.0,1970,Elton John,Music
Elton John Rock Of The Westies Promo Shirt,400.0,1970,Elton John,Music
Diana Ross Mahogany Movie Promo Shirt,400.0,1970,,
Bill Graham Snack Charity Concert Shirt,300.0,1970,,
Batman & Robin DC Comics Shirt,200.0,1970,Batman,Entretainment
Yes North American Tour Shirt,200.0,1970,,
The Beatles 10th Anniversary Promo Shirt,500.0,1970,Beatles,Music
The Beatles 10th Anniversary Capitol Records Promo Shirt,200.0,1970,Beatles,Music
Rock & Roll Revival Shirt,100.0,1970,,
Mott The Hoople Live Shirt,400.0,1970,,
Mott The Hoople Live Promo Shirt,350.0,1970,,
Indian Motorcycles 3rd Annual Come Home Rally Shirt,250.0,1970,,
Indian Motorcycles 3rd Annual Come Home Rally Shirt,200.0,1970,,
Hooker Headers Indianapolis 500 Shirt,500.0,1970,,
Grateful Dead From The Mars Hotel Tank Top Shirt,500.0,1970,Grateful Dead,Music
Gentle Giant American Tour Shirt,200.0,1970,,
Flying Eye Kelley Mouse Monster Corporation Shirt,800.0,1970,,
Crosby Stills Nash Young Shirt,400.0,1970,,
Crosby Stills Nash Young Day On The Green Crew Concert Shirt,600.0,1970,,
Chicago Meanwhile Back At The Ranch ABC TV Special Shirt,175.0,1970,,
Berkeley Comic Con Ultra Comix Shirt,250.0,1970,,
Wings Paul McCartney Band On The Run Promo Shirt,250.0,1970,,
Wings Paul McCartney Band On The Run Promo Shirt,500.0,1970,,
Steve Miller Band The Joker Promo Shirt,250.0,1970,,
Steve Miller Band The Joker Capitol Records Promo Shirt,150.0,1970,,
Steve Miller Band Joker Capitol Records Promo Shirt,250.0,1970,,
Paul McCartney Band On The Run Promo Shirt,350.0,1970,,
Indian Motorcycles 2nd Annual Rally Shirt,250.0,1970,,
Bruce Springsteen Asbury Park Tillie Shirt,500.0,1970,Bruce Springsteen,Music
Bachman Turner Overdrive Shirt,200.0,1970,,
Slade Promo Jersey Shirt,500.0,1970,,
Slade Jersey Shirt,400.0,1970,,
Rolling Stone Magazine Ralph Steadman Shirt,1.25,1970,,
Jackson 5 Motown Records Promo Shirt,500.0,1970,,
Grateful Dead Ice Cream Shirt,500.0,1970,Grateful Dead,Music
Foghat Aw G' Won Promo Shirt,100.0,1970,,
Kenny Loggins Jim Messina Sittin' In Shirt,250.0,1970,,
Yamaha Cycle Sport Unlimited Shirt,100.0,1970,,
Van Halen Shirt,300.0,1970,Van Halen,Music
Van Halen Jersey Shirt,300.0,1970,Van Halen,Music
University Of Notre Dame Champion Blue Bar Shirt,125.0,1970,,
Tits Boobs Shirt,1.25,1970,,
The Who McManus Enterprises Crew Tour Shirt,250.0,1970,The Who,Music
The Who Long Live Rock Jersey Shirt,250.0,1970,The Who,Music
The Show Ralph Steadman Shirt,250.0,1970,,
The Kinks Low Budget Shirt,300.0,1970,,
Stiff Records If It Ain't Stiff It Ain't Worth A Fuck Shirt,250.0,1970,,
Staying Hard Shirt,60.0,1970,,
Star Wars R2-D2 C-3PO Iron On Graphic Shirt,100.0,1970,Star Wars,Entretainment
Stairway To Heaven Penthouse Shirt,300.0,1970,,
Sims Pure Juice Skateboard Wheels Shirt,150.0,1970,,
Sex Pistols Shirt,1.5,1970,,
Ryar 650 AM Pinoy Radio Shirt,75.0,1970,,
Rush Tour Shirt,250.0,1970,,
Rod Stewart & Faces Shirt,250.0,1970,,
Reggie Jackson Candy Bars Shirt,60.0,1970,,
Red Light Team Julia Bulette Soapy Boobs Shirt,100.0,1970,,
Queen Tour Shirt,250.0,1970,,
Queen Shirt,400.0,1970,,
Pop Rocky Magazine Shirt,350.0,1970,,
Pink Floyd Shirt,350.0,1970,Pink Floyd,Music
Pink Floyd Iron On Graphic Shirt,125.0,1970,Pink Floyd,Music
Paramount Theatre Oakland California Shirt,125.0,1970,,
Ohio State Buckeyes Champion Blue Bar Shirt,125.0,1970,,
Notre Dame Shirt,200.0,1970,,
Nike Pinwheel Tag Shirt,250.0,1970,,
New York City All Over Print Shirt,100.0,1970,,
Marijuana Leaf Red Star Shirt,150.0,1970,,
Lynyrd Skynyrd Mash Whiskey Shirt,250.0,1970,,
Louis Armstrong Satchmo Shirt,600.0,1970,,
Leonardo Da Vinci Shirt,300.0,1970,,
Led Zeppelin Tie Dye Shirt,600.0,1970,Led Zeppelin,Music
Led Zeppelin Swan Song Tie Dye Shirt,1.0,1970,Led Zeppelin,Music
Led Zeppelin Swan Song Shirt,600.0,1970,Led Zeppelin,Music
Kiss Iron On Graphic Shirt,125.0,1970,Kiss,Music
King Tutankhamun Shirt,200.0,1970,,
Kansas City Royals Shirt,40.0,1970,,
Jimi Hendrix Winterland Shirt,1.5,1970,Jimi Hendrix,Music
If It Ain't Stiff It Ain't Worth A Fuck Stiff Records Shirt,500.0,1970,,
How's Your Love Life Shirt,200.0,1970,,
Gumout Carburetor Cleaner Shirt,300.0,1970,,
Grateful Dead Ice Cream Shirt,250.0,1970,Grateful Dead,Music
Grateful Dead Europe 72 Shirt,500.0,1970,Grateful Dead,Music
Grateful Dead Blues For Allah Shirt,85.0,1970,Grateful Dead,Music
Grateful Dead Bertha Tank Top Shirt,300.0,1970,Grateful Dead,Music
Fleetwood Mac Warner Brothers Promo Shirt,350.0,1970,Fleetwood Mac,Music
Fillmore East Jersey Shirt,1.0,1970,,
Fantasy Park A Concert Of The Mind Shirt,300.0,1970,,
Emerson Lake & Palmer Shirt,125.0,1970,,
ELP Tarkus Shirt,125.0,1970,,
Chuck Berry Chess Records Promo Shirt,250.0,1970,,
CBS Records Star Power Shirt,100.0,1970,,
CBGB Shirt,250.0,1970,,
